lake_id,lake_name,region,latitude,longitude,elevation_m,lake_area_km2,glacier_retreat_m_per_yr,distance_from_glacier_m,slope_deg,rainfall_mm,temperature_c,snowfall_mm,earthquake_magnitude,glof_risk,lake_type
GL0012,Far Plateau Tal 492,Himachal Pradesh,32.6444,77.3365,5003.6,0.475,5.16,1149.1,6.4,2182.7,2.53,223.9,5.61,0,synthetic
GL0013,Lower Cirque Tal 129,Uttarakhand,30.2615,79.4546,5091.7,0.21,32.74,149.7,12.7,2107.1,1.58,551.3,2.95,1,synthetic
GL0014,Far Glacier Sar 745,Jammu & Kashmir,33.8364,75.912,5797.0,0.159,23.28,50.0,13.8,1314.6,-3.62,1925.2,3.51,0,synthetic
GL0015,Outer Col Sar 607,Jammu & Kashmir,34.0612,75.9077,4111.8,0.344,0.0,319.0,14.6,2484.9,-4.82,1151.0,3.87,0,synthetic
GL0016,Inner Cirque Tal 116,Uttarakhand,30.1019,78.3864,4956.6,0.228,6.67,346.7,29.5,2448.6,-2.85,1181.8,2.75,0,synthetic
GL0017,North Moraine Tal 757,Uttarakhand,30.9203,78.1595,4571.6,2.996,14.11,469.7,6.3,2552.8,-1.09,1625.6,3.09,1,synthetic
GL0018,South Basin Sar 661,Jammu & Kashmir,33.0515,74.5289,5387.9,0.179,21.36,123.3,9.4,2340.6,-5.59,1664.5,3.99,1,synthetic
GL0019,Inner Plateau Tal 044,Himachal Pradesh,32.9561,76.9506,4094.1,0.024,34.33,1874.7,14.4,841.1,-2.59,1156.9,3.85,0,synthetic
GL0020,Outer Moraine Tal 569,Uttarakhand,30.9247,79.5263,3979.4,0.221,0.0,119.2,23.8,2522.1,-5.17,,4.36,0,synthetic
GL0021,Lower Ridge Tal 559,Uttarakhand,30.2032,79.6102,5733.4,0.275,4.76,779.0,19.3,2052.8,-1.74,1255.0,3.71,0,synthetic
GL0022,Lower Valley Tso 159,Ladakh,33.455,77.0537,3936.3,0.22,0.0,372.3,21.7,1391.2,0.71,1754.2,4.1,0,synthetic
GL0023,West Cirque Tal 495,Uttarakhand,30.1899,79.6402,5633.5,0.028,22.07,433.1,9.8,2318.8,2.8,1819.6,3.89,0,synthetic
GL0024,North Basin Tal 280,Uttarakhand,30.3314,78.1208,5472.9,0.345,35.41,265.8,20.7,2303.3,-2.39,1672.2,4.62,1,synthetic
GL0025,Outer Plateau Tal 381,Himachal Pradesh,33.1741,76.5701,5177.3,0.711,11.9,50.0,26.5,1320.3,-2.12,1279.9,4.57,0,synthetic
GL0026,Far Ridge Tso 089,Sikkim,27.7836,88.5579,5863.8,0.187,19.48,288.2,18.2,1710.2,4.17,1481.8,3.83,1,synthetic
GL0027,High Col Sar 482,Jammu & Kashmir,34.3236,74.7944,5868.5,0.068,26.3,553.8,10.3,2160.0,-5.71,783.3,2.83,0,synthetic
GL0028,Outer Spur Tal 004,Uttarakhand,29.5767,79.9836,5511.9,0.306,17.62,1035.7,20.0,2541.3,-1.26,1444.6,4.51,1,synthetic
GL0029,Lower Ridge Tal 774,Uttarakhand,30.7448,79.3484,4563.4,0.924,9.51,394.7,14.6,2057.8,-7.01,1030.3,4.18,0,synthetic
GL0030,West Hollow Tal 346,Himachal Pradesh,31.6405,77.6324,5599.8,0.292,15.31,691.5,37.0,2906.4,1.25,819.0,3.59,1,synthetic
GL0031,Upper Glacier Tal 327,Himachal Pradesh,31.9057,76.251,4706.3,0.096,9.34,297.3,31.7,1701.2,1.58,1290.5,3.97,1,synthetic
GL0032,East Glacier Tal 469,Himachal Pradesh,32.257,75.7937,5504.6,0.101,1.24,381.2,20.2,857.3,-1.66,2058.0,4.9,0,synthetic
GL0033,Far Hollow Tso 501,Ladakh,33.5716,78.5162,5106.0,0.078,13.92,710.6,14.3,2319.5,-1.43,1686.8,4.53,0,synthetic
GL0034,Far Plateau Tal 756,Himachal Pradesh,31.0659,77.468,4436.6,0.525,24.48,811.5,11.6,1801.9,-2.32,2043.0,3.34,0,synthetic
GL0035,Outer Ridge Tal 325,Himachal Pradesh,32.143,76.4925,4341.5,0.177,16.17,1595.5,14.2,1667.1,-3.43,2129.4,2.0,0,synthetic
GL0036,Inner Moraine Sar 307,Jammu & Kashmir,33.3394,76.0197,4317.9,1.925,19.23,769.5,14.7,1712.4,-9.15,1784.4,4.36,1,synthetic
GL0037,North Plateau Tal 642,Uttarakhand,29.276,79.5284,5453.6,0.26,7.07,1031.8,28.8,1182.2,5.83,588.4,5.03,0,synthetic
GL0038,High Spur Tal 714,Himachal Pradesh,30.9501,77.0614,5935.4,0.463,23.98,368.7,16.2,2022.8,-1.68,1884.0,2.12,0,synthetic
GL0039,East Glacier Tso 611,Ladakh,33.9257,77.4044,5924.4,0.125,0.0,1304.0,21.3,2080.5,-9.17,388.1,4.0,0,synthetic
GL0040,Lower Moraine Tal 133,Himachal Pradesh,31.6906,76.343,3941.7,0.093,8.35,1135.7,23.4,2015.5,0.67,719.5,4.03,0,synthetic
GL0041,South Basin Sar 760,Jammu & Kashmir,32.6276,75.6534,4075.8,0.275,28.13,300.9,15.7,2108.2,-4.21,,4.71,1,synthetic
GL0042,Upper Cirque Sar 052,Jammu & Kashmir,32.8862,75.4604,4975.5,0.042,16.19,1065.4,34.2,2435.6,-2.8,853.4,4.01,0,synthetic
GL0043,Upper Basin Tso 085,Sikkim,27.1943,88.1074,5048.9,0.082,30.9,577.8,29.6,2367.1,1.24,849.6,4.42,1,synthetic
GL0044,South Plateau Tal 641,Himachal Pradesh,32.4219,77.1644,4725.0,0.275,0.0,451.4,5.5,3166.0,6.08,770.9,4.21,0,synthetic
GL0045,Outer Glacier Tal 589,Himachal Pradesh,31.1319,77.2151,4842.7,0.229,18.71,1025.3,24.7,1379.0,1.92,1255.6,3.21,0,synthetic
GL0046,Far Cirque Tal 583,Himachal Pradesh,32.5262,77.3024,5359.0,0.701,0.0,743.4,10.4,1172.6,-0.67,1133.1,4.67,0,synthetic
GL0047,Inner Cirque Tso 709,Ladakh,32.8255,79.3419,4961.8,0.624,3.45,364.3,16.1,2125.5,-2.7,1266.3,3.95,0,synthetic
GL0048,South Hollow Tal 568,Uttarakhand,30.2242,78.2701,5675.8,0.07,24.06,726.3,26.3,1753.8,-4.28,1980.4,2.78,0,synthetic
GL0049,Upper Moraine Tso 742,Ladakh,35.0909,77.2413,5208.9,0.955,4.82,681.3,20.6,2998.6,-0.38,987.2,4.05,1,synthetic
GL0050,Outer Spur Tso 764,Ladakh,34.3816,78.0579,3821.4,0.635,12.16,1187.1,28.2,1683.3,4.08,1322.6,4.04,1,synthetic
GL0051,Inner Basin Tso 710,Ladakh,32.8845,78.7224,4559.5,0.246,27.84,766.1,7.3,1783.1,1.6,699.6,3.94,0,synthetic
GL0052,Upper Col Tal 417,Himachal Pradesh,31.3855,76.4042,3665.9,0.778,53.5,50.0,24.3,924.7,-0.01,1196.6,4.1,1,synthetic
GL0053,Far Ridge Tso 716,Ladakh,34.1864,78.8168,3543.2,0.463,20.3,295.9,23.7,1776.4,-3.02,1033.9,4.9,1,synthetic
GL0054,Outer Col Tal 604,Himachal Pradesh,32.0828,78.3451,5941.3,0.449,11.03,534.4,23.0,1803.3,-2.44,1249.9,5.18,0,synthetic
GL0055,West Valley Tal 502,Himachal Pradesh,31.7533,76.7402,3825.2,0.193,9.14,1372.0,30.5,2388.9,-1.88,1609.6,4.06,0,synthetic
GL0056,Lower Col Tal 599,Uttarakhand,29.9516,78.1833,5665.9,0.099,0.0,809.5,1.8,2120.6,4.24,2136.7,2.56,0,synthetic
GL0057,Far Spur Tal 317,Uttarakhand,29.6028,79.9824,4044.5,0.605,6.59,1400.8,24.7,1444.8,-4.71,1602.8,3.79,0,synthetic
GL0058,Upper Glacier Tal 713,Uttarakhand,31.0923,78.4297,3999.0,0.421,15.32,50.0,3.3,2270.9,3.34,1339.7,4.65,0,synthetic
GL0059,Far Valley Tso 006,Ladakh,33.7222,76.5944,4521.3,0.076,1.4,140.3,22.5,2192.6,0.92,1086.4,4.13,0,synthetic
GL0060,East Spur Tso 560,Ladakh,34.3136,77.7663,5171.2,2.097,0.0,813.0,20.2,2316.8,2.83,1907.9,3.64,1,synthetic
GL0061,East Ridge Tal 051,Himachal Pradesh,33.0558,76.7092,4651.9,0.426,15.7,874.4,16.3,2280.8,-0.95,1688.9,4.65,0,synthetic
GL0062,Outer Moraine Tso 264,Ladakh,34.304,77.9583,4675.5,0.67,6.28,1249.7,15.5,1689.3,-2.12,1678.9,3.82,0,synthetic
GL0063,East Cirque Lake 348,Arunachal Pradesh,27.8398,92.868,3800.7,0.466,10.37,265.9,20.3,1013.8,0.95,823.2,4.3,0,synthetic
GL0064,Upper Glacier Tso 617,Ladakh,34.2611,77.618,3663.8,0.311,10.04,50.0,22.7,805.5,-5.13,1012.4,4.64,0,synthetic
GL0065,High Hollow Tal 702,Uttarakhand,30.323,79.0284,4112.5,0.068,4.23,944.5,11.2,1457.9,-0.96,2478.8,4.6,0,synthetic
GL0066,Upper Plateau Tal 394,Uttarakhand,30.6992,78.8788,5469.4,0.343,20.63,1060.7,11.8,1656.0,3.58,1685.5,3.69,0,synthetic
GL0067,South Spur Tal 666,Uttarakhand,30.6269,79.8357,3952.6,0.237,10.02,50.0,19.1,1981.5,2.95,,3.0,0,synthetic
GL0068,East Valley Tso 544,Ladakh,33.4798,78.5772,3762.0,0.064,17.95,570.0,29.1,1748.7,-2.35,1829.4,3.93,0,synthetic
GL0069,Inner Hollow Lake 048,Arunachal Pradesh,28.943,95.5046,5469.0,0.169,24.49,1349.2,13.9,1823.9,-0.4,1177.1,4.76,0,synthetic
GL0070,Lower Glacier Sar 200,Jammu & Kashmir,33.3373,75.4684,5828.1,0.343,29.36,637.7,16.5,2812.4,0.53,1665.9,3.47,1,synthetic
GL0071,West Glacier Tal 534,Uttarakhand,30.243,78.429,4885.2,0.201,27.34,50.0,14.6,1786.9,1.86,1278.2,5.44,1,synthetic
GL0072,Lower Plateau Tal 717,Uttarakhand,30.1195,77.9407,3663.4,0.2,10.32,880.8,25.4,2747.9,-2.42,1387.6,4.47,0,synthetic
GL0073,Lower Basin Tso 250,Sikkim,27.7561,88.6258,3766.0,0.778,5.87,884.2,11.3,1330.0,2.12,448.0,4.74,0,synthetic
GL0074,Upper Moraine Tal 392,Uttarakhand,30.194,80.1853,5759.7,0.057,22.45,1162.4,17.3,2363.4,-3.16,877.1,4.82,0,synthetic
GL0075,High Moraine Tal 494,Uttarakhand,30.4412,78.8229,5616.2,0.51,11.96,1389.5,21.9,2708.4,-9.07,1257.2,4.33,0,synthetic
GL0076,Outer Plateau Sar 408,Jammu & Kashmir,33.2066,75.5898,4367.6,0.659,24.25,393.4,20.5,1925.1,0.03,1470.8,3.69,1,synthetic
GL0077,High Col Tal 592,Uttarakhand,30.5688,80.2504,5234.3,0.335,0.0,701.6,36.4,1263.2,-1.4,1186.8,4.08,0,synthetic
GL0078,North Plateau Tso 118,Ladakh,33.4068,78.8601,5146.2,0.132,11.63,50.0,8.8,1750.4,2.8,980.2,4.51,0,synthetic
GL0079,Lower Basin Tso 370,Ladakh,32.6144,78.8874,4638.8,0.464,3.18,547.5,4.4,797.8,1.09,923.4,4.7,0,synthetic
GL0080,Lower Glacier Tso 506,Ladakh,33.1475,78.1466,4788.4,0.124,16.37,50.0,22.9,1490.9,1.71,1130.8,4.85,1,synthetic
GL0081,East Hollow Tal 727,Uttarakhand,30.8025,78.5748,4935.7,0.775,15.01,1110.3,12.0,916.4,-3.85,896.9,3.49,0,synthetic
GL0082,Inner Valley Tal 585,Himachal Pradesh,30.4493,77.3717,5054.3,0.23,26.04,50.0,13.8,2118.0,5.23,320.0,3.92,1,synthetic
GL0083,Lower Ridge Tso 540,Ladakh,34.1876,78.5098,5896.1,0.11,8.23,1115.7,31.3,1644.5,-4.03,721.4,5.05,0,synthetic
GL0084,Inner Basin Tal 131,Himachal Pradesh,31.9622,78.6682,4007.0,0.155,7.61,50.0,8.4,911.5,1.05,2204.5,5.14,0,synthetic
GL0085,Far Hollow Tso 462,Ladakh,33.8105,78.2864,4791.0,0.257,22.48,285.8,1.0,1396.9,-1.71,1331.9,5.35,0,synthetic
GL0086,Far Basin Tal 150,Himachal Pradesh,33.0536,76.4792,4909.7,0.133,6.67,128.7,26.4,1863.2,-1.05,1268.2,4.59,1,synthetic
GL0087,East Cirque Tal 705,Uttarakhand,31.0257,78.9163,4911.6,2.729,2.06,524.8,11.5,1534.6,-4.0,1712.0,3.61,0,synthetic
GL0088,South Ridge Tal 291,Himachal Pradesh,32.334,76.2129,5939.7,0.389,23.96,555.9,27.1,1902.2,-2.25,811.4,4.81,1,synthetic
GL0089,Far Col Lake 041,Arunachal Pradesh,27.9965,95.1862,5758.3,0.024,1.12,453.1,8.4,2564.4,5.49,711.7,3.33,0,synthetic
GL0090,Outer Hollow Sar 297,Jammu & Kashmir,33.1457,75.2781,5068.6,0.368,21.65,533.5,16.9,2996.9,2.73,1538.7,5.38,1,synthetic
GL0091,Far Valley Tal 432,Uttarakhand,30.3705,79.2522,4446.3,2.188,30.91,50.0,15.2,1319.0,4.49,1422.1,3.39,1,synthetic
GL0092,East Basin Tal 648,Himachal Pradesh,32.7027,76.4342,5832.5,0.243,3.68,792.7,17.4,1691.1,-1.35,1235.2,3.88,0,synthetic
GL0093,North Cirque Sar 696,Jammu & Kashmir,34.0552,75.3095,5233.8,0.273,26.45,1057.2,25.2,2296.9,1.03,1986.5,4.34,1,synthetic
GL0094,High Col Sar 054,Jammu & Kashmir,34.1087,74.2161,5346.5,1.061,18.06,1275.3,18.1,2231.8,-5.33,1498.5,4.05,0,synthetic
GL0095,West Valley Tal 343,Himachal Pradesh,31.7199,76.9869,5529.7,0.161,12.32,50.0,23.4,2533.1,0.28,864.8,4.07,1,synthetic
GL0096,Inner Cirque Sar 780,Jammu & Kashmir,33.576,76.0832,4342.2,0.129,15.65,915.1,30.8,1959.7,-2.61,863.7,4.26,1,synthetic
GL0097,Outer Moraine Tal 170,Himachal Pradesh,31.3567,77.6,5660.3,0.042,11.63,1374.9,14.1,2165.6,2.47,2353.4,3.54,0,synthetic
GL0098,Far Ridge Tal 057,Uttarakhand,29.8402,79.3611,5724.1,0.182,17.93,736.6,7.7,1787.2,3.53,,2.31,0,synthetic
GL0099,North Hollow Sar 554,Jammu & Kashmir,33.4183,75.211,3997.6,0.066,1.46,50.0,23.4,1929.8,-2.07,454.3,3.12,0,synthetic
GL0100,Outer Moraine Sar 428,Jammu & Kashmir,34.0562,73.9119,5595.9,0.073,1.46,358.4,14.1,3399.0,2.01,1772.2,3.79,0,synthetic
GL0101,Tso Lhamo Lake,Sikkim,28.15,88.7,5330.0,0.6,3.0,1000.0,5.0,450.0,-7.5,380.0,3.1,0,real
GL0102,Lower Valley Lake 770,Arunachal Pradesh,27.8747,97.0132,5587.1,0.108,21.98,991.1,41.5,1617.5,3.51,1308.7,3.01,1,synthetic
GL0103,High Valley Tso 772,Ladakh,34.5299,76.5431,4378.5,0.093,14.25,2114.9,20.7,1538.5,-0.07,1041.5,3.23,0,synthetic
GL0104,West Cirque Tso 243,Ladakh,34.7603,78.165,5670.6,1.978,15.56,632.0,14.6,2818.9,-2.65,1089.3,4.78,1,synthetic
GL0105,Outer Spur Tso 455,Sikkim,27.8326,88.2479,4692.5,0.952,32.39,2000.0,24.8,2206.0,1.91,1020.4,4.09,0,synthetic
GL0106,East Valley Tso 324,Ladakh,34.8493,77.5615,5029.7,0.19,18.96,1190.3,35.0,2582.7,-1.35,1273.0,4.45,1,synthetic
GL0107,East Valley Tal 536,Uttarakhand,31.1311,78.6936,3674.7,0.157,1.7,393.5,18.3,2250.0,-4.26,1750.7,3.5,0,synthetic
GL0108,Lower Col Lake 483,Arunachal Pradesh,28.7805,95.258,4178.9,0.151,23.22,1669.1,3.3,1552.4,-2.33,1091.5,,0,synthetic
GL0109,High Glacier Tal 565,Uttarakhand,30.7313,78.2351,4718.8,0.332,40.68,165.7,17.5,3018.8,0.66,2540.1,3.41,1,synthetic
GL0110,Lower Basin Sar 437,Jammu & Kashmir,33.0815,75.4765,5002.8,0.233,12.15,514.5,6.2,1426.1,-3.36,1867.9,3.97,0,synthetic
GL0111,Lower Plateau Lake 055,Arunachal Pradesh,28.1613,96.7128,4183.0,0.129,0.0,855.6,21.5,938.6,-1.93,1797.9,4.85,0,synthetic
GL0112,Far Hollow Tso 722,Ladakh,33.5221,76.8635,5872.7,0.315,0.36,1441.1,18.4,2020.0,4.07,1292.0,4.32,0,synthetic
GL0113,Inner Spur Tal 728,Uttarakhand,30.9978,79.3968,4701.2,0.075,5.5,982.9,16.2,1629.3,1.01,1778.2,3.98,0,synthetic
GL0114,Lower Ridge Tso 139,Ladakh,34.2174,78.1254,4787.8,0.127,5.32,50.0,21.5,2454.5,-0.69,1782.6,4.07,0,synthetic
GL0115,South Spur Tso 383,Ladakh,33.9259,76.5575,4315.0,0.258,28.94,246.1,3.6,2077.9,3.04,1380.5,3.84,1,synthetic
GL0116,South Col Tal 726,Himachal Pradesh,30.7636,77.2126,5980.8,0.197,0.0,1497.6,23.4,1686.8,-5.38,1814.1,3.11,0,synthetic
GL0117,Outer Basin Tal 553,Himachal Pradesh,32.0425,75.8416,5546.7,0.185,7.83,1425.2,11.4,1240.6,1.29,1192.1,5.63,0,synthetic
GL0118,Far Glacier Tal 422,Himachal Pradesh,31.7059,77.638,5246.4,0.072,20.98,644.5,12.2,2655.5,-9.21,1473.3,5.3,0,synthetic
GL0119,South Valley Tal 733,Himachal Pradesh,32.3546,76.2121,5558.3,0.292,18.58,50.0,27.4,2198.9,3.22,1485.3,3.15,1,synthetic
GL0120,Far Ridge Tal 461,Uttarakhand,29.3865,78.9926,4977.7,0.148,8.71,482.3,16.7,1444.8,2.93,1741.7,3.76,0,synthetic
GL0121,Upper Col Tal 596,Himachal Pradesh,31.3468,77.4158,5098.8,0.301,8.09,762.8,36.3,2886.9,-0.44,1727.9,,1,synthetic
GL0122,West Cirque Sar 683,Jammu & Kashmir,33.9198,76.1696,5378.3,0.071,19.64,50.0,21.1,1145.2,-2.84,1747.5,4.18,0,synthetic
GL0123,East Plateau Tal 581,Uttarakhand,30.3661,78.1222,4198.4,0.373,0.0,859.6,5.3,2508.3,-3.28,1304.2,2.96,0,synthetic
GL0124,Outer Spur Tal 779,Uttarakhand,30.1189,80.2204,5855.2,2.487,26.19,535.8,45.0,1505.1,2.58,533.7,3.8,1,synthetic
GL0125,North Valley Tal 342,Uttarakhand,29.3874,79.2439,3523.1,0.649,25.83,915.3,11.4,2116.0,-2.62,1199.4,5.63,1,synthetic
GL0126,High Spur Tso 314,Ladakh,33.209,77.2435,3901.0,0.399,14.36,1143.2,12.4,2741.0,0.38,1294.0,3.75,0,synthetic
GL0127,Far Valley Tal 442,Uttarakhand,30.6808,79.3272,5347.1,0.133,12.14,60.2,26.9,3463.4,-7.67,1126.9,5.01,1,synthetic
GL0128,High Plateau Tso 211,Ladakh,32.6509,79.2167,5457.1,0.073,9.64,705.3,32.3,2244.3,3.34,1620.4,5.3,0,synthetic
GL0129,West Hollow Tal 454,Himachal Pradesh,32.2814,76.643,5173.6,0.156,14.18,585.8,11.1,1600.1,2.04,1090.1,3.12,0,synthetic
GL0130,North Ridge Tso 529,Ladakh,33.7337,78.7629,4601.3,0.312,23.04,976.6,19.5,1956.7,3.86,1061.0,4.31,0,synthetic
GL0131,Lower Valley Sar 137,Jammu & Kashmir,34.1809,75.064,4337.6,0.142,17.58,87.7,26.2,1318.2,-2.5,1007.0,4.13,1,synthetic
GL0132,Far Cirque Sar 735,Jammu & Kashmir,34.339,76.3296,5922.0,0.22,3.0,1115.1,24.6,1423.2,-6.03,824.0,4.44,0,synthetic
GL0133,Lower Moraine Tso 227,Ladakh,34.3279,78.4573,3725.4,0.754,20.6,50.0,28.9,3552.2,2.01,2013.5,4.07,1,synthetic
GL0134,Outer Basin Sar 629,Jammu & Kashmir,34.2579,76.4803,5944.3,0.051,33.66,85.4,14.7,2526.0,3.69,1200.2,3.68,1,synthetic
GL0135,East Plateau Tal 386,Uttarakhand,30.5121,78.5542,4067.1,0.611,24.55,1554.4,11.7,1459.2,-4.03,1172.7,2.12,0,synthetic
GL0136,West Col Tal 293,Uttarakhand,30.1182,79.2091,4158.4,0.048,10.25,1327.3,21.4,1554.7,-3.9,1020.1,4.29,0,synthetic
GL0137,North Hollow Tso 366,Ladakh,34.2451,76.9486,4594.4,0.052,12.18,50.0,9.0,1844.0,-6.18,1489.9,4.59,0,synthetic
GL0138,West Basin Tso 144,Ladakh,33.905,76.6194,4096.2,0.393,22.0,353.6,1.7,1708.2,-5.33,576.5,,0,synthetic
GL0139,Lower Spur Tal 668,Uttarakhand,29.3341,80.091,5225.7,0.061,21.87,650.7,27.6,2061.4,-1.3,1554.6,3.47,1,synthetic
GL0140,Lower Plateau Tal 177,Uttarakhand,30.2186,80.421,5241.8,1.62,12.43,50.0,35.0,2543.6,-1.75,1114.3,4.87,1,synthetic
GL0141,Inner Valley Tal 287,Himachal Pradesh,31.8884,76.2875,5650.0,0.253,13.87,50.0,16.0,1997.7,-2.06,2008.0,3.03,0,synthetic
GL0142,South Cirque Tal 065,Himachal Pradesh,31.9055,77.2556,4586.4,0.294,15.07,824.2,28.5,3170.8,-0.42,1594.8,3.08,0,synthetic
GL0143,North Spur Lake 195,Arunachal Pradesh,27.9552,94.1931,5209.6,0.213,13.03,386.2,41.7,2461.3,-3.12,1532.7,3.19,1,synthetic
GL0144,West Spur Tso 119,Sikkim,27.3519,88.6958,5365.2,0.326,0.01,805.1,13.8,3643.5,-7.58,1401.8,3.1,0,synthetic
GL0145,Far Valley Tal 532,Uttarakhand,30.2059,80.4896,5282.2,0.271,8.49,973.3,16.5,1342.3,4.97,1291.4,3.93,0,synthetic
GL0146,High Glacier Tso 100,Ladakh,35.3298,77.8417,5426.9,0.221,19.69,1300.6,19.6,1507.6,1.39,1760.6,4.52,0,synthetic
GL0147,High Basin Tso 016,Ladakh,34.3452,78.2013,3850.8,0.342,45.21,1538.4,10.3,1913.2,-6.62,1004.6,4.25,1,synthetic
GL0148,North Glacier Tal 183,Uttarakhand,31.2709,79.1282,4913.7,0.77,8.47,1305.7,17.2,2233.1,2.63,851.3,3.21,0,synthetic
GL0149,East Spur Tso 242,Ladakh,33.9112,78.2378,5203.4,0.461,37.53,996.3,3.6,3012.3,-2.69,1353.6,2.98,1,synthetic
GL0150,High Basin Tso 350,Ladakh,34.6084,77.5725,4953.4,0.51,18.05,355.9,12.2,2181.8,-2.93,745.4,3.73,1,synthetic
GL0151,Outer Valley Tal 711,Himachal Pradesh,31.804,76.5455,5990.7,0.036,5.8,863.9,25.8,1717.8,-1.69,852.4,3.08,0,synthetic
GL0152,Outer Spur Tal 632,Uttarakhand,30.0105,80.0326,5768.6,1.984,6.17,540.3,23.8,2679.8,2.97,1514.2,4.84,1,synthetic
GL0153,North Moraine Tal 090,Uttarakhand,30.0841,80.5088,3513.7,0.35,0.0,588.4,36.0,2635.7,-0.91,1080.5,3.68,0,synthetic
GL0154,East Basin Lake 015,Arunachal Pradesh,28.2874,95.6201,5510.3,0.681,0.0,615.3,13.6,1887.0,2.01,1569.1,5.07,0,synthetic
GL0155,South Basin Sar 440,Jammu & Kashmir,33.3918,74.8885,5791.6,5.0,13.53,540.4,24.7,3169.5,1.91,222.2,4.45,1,synthetic
GL0156,East Hollow Tso 426,Ladakh,33.7128,77.8858,4724.8,0.391,1.78,63.5,5.6,2605.3,0.99,2206.0,3.45,0,synthetic
GL0157,North Ridge Tso 262,Ladakh,32.9056,77.4572,3893.6,0.361,15.55,948.2,26.4,2692.3,-1.85,1993.5,4.18,0,synthetic
GL0158,West Glacier Sar 593,Jammu & Kashmir,33.5545,76.0216,3528.6,0.192,6.97,50.0,20.5,3435.1,0.1,1643.4,3.67,0,synthetic
GL0159,Outer Basin Tso 769,Ladakh,33.4578,76.6916,3816.5,0.229,28.6,1185.9,28.0,2117.3,-4.55,2262.6,4.69,1,synthetic
GL0160,High Valley Tso 298,Ladakh,32.5289,78.3954,4877.4,0.405,38.4,265.8,26.1,2855.6,0.97,819.5,5.13,1,synthetic
GL0161,Far Hollow Tal 746,Himachal Pradesh,31.4855,76.2975,4408.9,0.306,24.0,1520.0,12.3,1476.5,-5.06,1797.2,4.9,0,synthetic
GL0162,South Moraine Tso 753,Ladakh,35.097,77.6182,4293.2,0.097,28.53,613.3,13.0,1763.4,-3.47,1063.1,2.99,0,synthetic
GL0163,Upper Moraine Tso 061,Ladakh,33.9916,77.0692,4148.6,0.36,2.91,962.1,18.6,870.2,-8.36,1293.8,3.82,0,synthetic
GL0164,South Ridge Tso 656,Ladakh,34.3794,77.4857,4928.0,0.787,23.52,831.2,10.6,1888.2,-2.29,1674.5,3.07,0,synthetic
GL0165,East Moraine Lake 296,Arunachal Pradesh,28.9288,95.0073,4612.1,0.035,18.82,195.5,1.0,2451.4,5.92,1994.8,3.79,0,synthetic
GL0166,West Valley Tso 337,Ladakh,33.7392,77.3596,5230.0,0.116,0.0,564.3,18.3,1873.6,2.8,874.9,4.25,0,synthetic
GL0167,North Col Tal 491,Himachal Pradesh,32.9224,76.0254,5231.4,0.587,15.5,1345.8,29.6,2228.0,-2.42,1553.3,3.86,1,synthetic
GL0168,North Basin Tso 395,Ladakh,34.2679,76.7633,4733.0,0.05,9.18,1214.4,21.6,300.0,0.86,2259.1,2.4,0,synthetic
GL0169,East Glacier Tal 351,Himachal Pradesh,31.3713,78.1725,5987.1,0.174,7.56,674.1,23.1,2832.4,-3.99,1593.3,4.16,1,synthetic
GL0170,East Hollow Tal 685,Uttarakhand,30.7447,78.9041,5709.1,0.066,10.35,426.5,25.6,1807.7,-2.17,,2.88,0,synthetic
